[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:15:02,108 INFO [http-nio-56085-exec-5][QCloudSmsService.java:56] - 给手机号13278882794发送验证码：901757
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,410 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\JDK\jdk1.8.0_191\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:\JDK\jdk1.8.0_191\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\VMware\VMware Workstation\bin\;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.0\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.0\libnvvp;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v10.1\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v10.1\libnvvp;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\NVIDIA Corporation\Nsight Compute 2020.1.1\;D:\MinGW\bin;D:\ProgramData\Anaconda3;D:\ProgramData\Anaconda3\Scripts;D:\ProgramData\Anaconda3\Library\bin;D:\Program_My\mysql-8.0.27-winx64\bin;D:\JDK\jdk1.8.0_191\jre\bin;C:\Users\liguohui\AppData\Local\Microsoft\WindowsApps;;D:\Program Files\JetBrains\PyCharm 2021.2.3\bin;;D:\Program Files\JetBrains\IntelliJ IDEA 2021.2.3\bin;;D:\Program Files\JetBrains\CLion 2021.2.3\bin;;D:\Program Files\JetBrains\WebStorm 2021.2.3\bin;;.]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,515 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,515 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1074 ms
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,115 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,157 INFO [main][PropertySourcedRequestMappingHandlerMapping.java:69] - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,226 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,409 INFO [main][DocumentationPluginsBootstrapper.java:160] - Context refreshed
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,424 INFO [main][DocumentationPluginsBootstrapper.java:163] - Found 1 custom documentation plugin(s)
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,445 INFO [main][ApiListingReferenceScanner.java:41] - Scanning for api listing references
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,537 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-56085"]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,551 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 56085 (http) with context path '/sailing'
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,553 INFO [main][StartupInfoLogger.java:59] - Started SailingBootstrap in 2.369 seconds (JVM running for 3.231)
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,648 INFO [RMI TCP Connection(3)-10.1.217.214][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,648 INFO [RMI TCP Connection(3)-10.1.217.214][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:00,653 INFO [RMI TCP Connection(3)-10.1.217.214][FrameworkServlet.java:546] - Completed initialization in 5 ms
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:01,111 INFO [RMI TCP Connection(5)-10.1.217.214][EpollProvider.java:68] - Starting without optional epoll library
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:01,112 INFO [RMI TCP Connection(5)-10.1.217.214][KqueueProvider.java:70] - Starting without optional kqueue library
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:23:59,660 INFO [http-nio-56085-exec-1][QCloudSmsService.java:56] - 给手机号13278882794发送验证码：837547
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:25:28,845 INFO [http-nio-56085-exec-3][QCloudSmsService.java:56] - 给手机号13278882794发送验证码：878123
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:26:47,753 INFO [http-nio-56085-exec-5][QCloudSmsService.java:56] - 给手机号1327888279412发送验证码：774846
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:28:16,105 INFO [http-nio-56085-exec-8][QCloudSmsService.java:56] - 给手机号15279429355发送验证码：877748
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:38:11,699 INFO [http-nio-56085-exec-1][QCloudSmsService.java:56] - 给手机号13278882794发送验证码：858392
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:39:32,367 INFO [http-nio-56085-exec-6][QCloudSmsService.java:56] - 给手机号13278882794发送验证码：183076
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:40:56,268 INFO [http-nio-56085-exec-8][QCloudSmsService.java:56] - 给手机号13278882794发送验证码：203835
